EC Number	Organism	pH Optimum
3.2.1.1	Pseudoalteromonas sp. 2-3	8.0
3.2.1.1	Halobacillus sp. amylus	8.0
3.2.1.1	Microbacterium foliorum	8.0
3.2.1.1	Streptomyces fragilis	8.0
3.2.1.1	Anoxybacillus sp. GXS-BL	8.0
3.2.1.1	Ephestia kuehniella	8.0
3.2.1.1	Brevibacillus borstelensis	8.0
3.2.1.1	uncultured organism	8.0
3.2.1.1	Bacillus sp. KSM-K38	8.0
3.2.1.1	Halorubrum xinjiangense	8.5
3.2.1.1	Thermotoga petrophila	8.5
3.2.1.1	Haloterrigena turkmenica	8.5
3.2.1.1	Euplotes focardii	9.0
3.2.1.1	Moneuplotes crassus	9.0
3.2.1.1	Sutcliffiella cohnii	9.0
3.2.1.1	Chryseobacterium taeanense	9.0
3.2.1.1	Nocardiopsis sp. B2	9.0
3.2.1.1	Streptomyces sp. D1	9.0
3.2.1.1	Bacillus sp. TS-23	9.0
3.2.1.1	Chromohalobacter sp. TVSP 101	9.0
3.2.1.1	Glyphodes pyloalis	9.0
3.2.1.1	Alkalimonas amylolytica	9.5
3.2.1.1	Halalkalibacterium halodurans	10.0
3.2.1.1	Saccharopolyspora sp. A9	11.0
3.2.1.1	Bacillus sp. TSCVKK	11.0
3.2.1.1	Bacillus sp. A-3-15	11.0
3.2.1.1	Bacillus sp. GM8901	11.0
3.2.1.B1	Rhodococcus sp.	6.0
3.2.1.B1	Pseudoalteromonas sp.	6.0
3.2.1.B1	Vibrio sp.	6.0
3.2.1.B1	Catenovulum agarivorans	6.0
3.2.1.B1	Microbulbifer sp. BN3	6.0
3.2.1.B1	Microbulbifer sp. Q7	6.0
3.2.1.B1	Rhodococcus sp. Q5	6.0
3.2.1.B1	Pseudoalteromonas sp. JYBCL 1	6.0
3.2.1.B1	Bacillus sp. (in: Bacteria)	6.4
3.2.1.B1	Bacillus subtilis	7.0
3.2.1.B1	Microbulbifer sp.	7.0
3.2.1.B1	Agarivorans albus	7.0
3.2.1.B1	Agarivorans sp.	7.0
3.2.1.B1	Cellvibrio sp.	7.0
3.2.1.B1	Alteromonas sp.	7.0
3.2.1.B1	Vibrio sp. S4	7.0
3.2.1.B1	Pseudoalteromonas hodoensis	7.0
3.2.1.B1	Thalassotalea agarivorans	7.4
3.2.1.B1	Acinetobacter junii	8.0
3.2.1.B1	Pseudoalteromonas sp. NJ21	8.0
3.2.1.B1	Pseudomonas sp.	9.0
3.2.1.B1	Stenotrophomonas sp. NTa	10.0
3.2.1.2	Hordeum vulgare	3.5
3.2.1.2	Ipomoea batatas	4.0
3.2.1.2	Bacillus cereus	4.2
3.2.1.2	Calystegia sepium	4.8
3.2.1.2	Syncephalastrum racemosum	5.0
3.2.1.2	Curculigo pilosa	5.0
3.2.1.2	Brettanomyces naardenensis	5.0
3.2.1.2	Thermococcus sp.	5.0
3.2.1.2	Paenibacillus polymyxa	5.0
3.2.1.2	Triticum aestivum	5.3
3.2.1.2	Glycine max	5.4
3.2.1.2	Thermoanaerobacterium thermosulfurigenes	5.5
3.2.1.2	Phaffia rhodozyma	5.5
3.2.1.2	Entamoeba invadens	5.5
3.2.1.2	Aspergillus nidulans	5.5
3.2.1.2	Panicum miliaceum	5.5
3.2.1.2	Oryza sativa	5.5
3.2.1.2	Dioscorea oppositifolia	5.6
3.2.1.2	Arabidopsis thaliana	6.0
3.2.1.2	Abrus precatorius	6.0
3.2.1.2	Vicia faba	6.0
3.2.1.2	Pisum sativum	6.0
3.2.1.2	Medicago sativa	6.0
3.2.1.2	Dioscorea batatus	6.0
3.2.1.2	Cenchrus sp.	6.0
3.2.1.2	Cadaba farinosa	6.5
3.2.1.2	Solanum tuberosum	6.5
3.2.1.2	Geobacillus stearothermophilus	6.9
3.2.1.2	Priestia megaterium	6.9
3.2.1.2	Camelus bactrianus	7.0
3.2.1.2	Priestia aryabhattai	7.0
3.2.1.2	Niallia circulans	7.5
3.2.1.2	Halobacillus sp.	8.0
3.2.1.3	Thermoplasma acidophilum	2.0
3.2.1.3	Picrophilus torridus	2.0
3.2.1.3	Picrophilus oshimae	2.0
3.2.1.3	Pseudozyma tsukubaensis	2.4
3.2.1.3	Sclerotinia sclerotiorum	3.5
3.2.1.3	Aspergillus niger	3.5
3.2.1.3	Gymnascella citrina	3.5
3.2.1.3	Saccharomyces cerevisiae	3.6
3.2.1.3	Aspergillus terreus	4.0
3.2.1.3	Curvularia lunata	4.0
3.2.1.3	Thermochaetoides thermophila	4.0
3.2.1.3	Thermothielavioides terrestris	4.0
3.2.1.3	Talaromyces verruculosus	4.0
3.2.1.3	Rhizopus sp.	4.0
3.2.1.3	Aspergillus awamori	4.0
3.2.1.3	Myrothecium sp.	4.0
3.2.1.3	Aspergillus coreanus	4.0
3.2.1.3	Aspergillus oryzae	4.0
3.2.1.3	Aspergillus fumigatus	4.0
3.2.1.3	Saccharomyces cerevisiae 'var. diastaticus'	4.0
3.2.1.3	Blastobotrys adeninivorans	4.0
3.2.1.3	Beta vulgaris	4.1
3.2.1.3	Moesziomyces antarcticus	4.2
3.2.1.3	Cephalosporium eichhorniae	4.2
3.2.1.3	Paecilomyces variotii	4.5
3.2.1.3	Thermoanaerobacterium thermosaccharolyticum	4.5
3.2.1.3	Aspergillus phoenicis	4.5
3.2.1.3	Fusarium solani	4.5
3.2.1.3	Aureobasidium pullulans	4.5
3.2.1.3	Lipomyces kononenkoae	4.5
3.2.1.3	Streptosporangium sp.	4.5
3.2.1.3	Rasamsonia emersonii	4.5
3.2.1.3	Penicillium oxalicum	4.5
3.2.1.3	Clostridium thermoamylolyticum	4.5
3.2.1.3	Trichoderma reesei	4.5
3.2.1.3	Monascus sp. (in: Fungi)	4.5
3.2.1.3	Endomycopsis fibuligera	4.5
3.2.1.3	Monascus kaoliang	4.5
3.2.1.3	Aspergillus tritici	4.5
3.2.1.3	Lentinula edodes	4.6
3.2.1.3	Rhizopus arrhizus	4.6
3.2.1.3	Mucor rouxianus	4.6
3.2.1.3	Humicola sp.	4.7
3.2.1.3	Bacillus sp. (in: Bacteria)	5.0
3.2.1.3	Aspergillus japonicus	5.0
3.2.1.3	Mucor javanicus	5.0
3.2.1.3	Mycothermus thermophilus	5.0
3.2.1.3	Penaeus japonicus	5.0
3.2.1.3	Thermomyces lanuginosus	5.0
3.2.1.3	Caldanaerobacter subterraneus subsp. tengcongensis MB4	5.0
3.2.1.3	Caulobacter vibrioides	5.0
3.2.1.3	Aspergillus flavus	5.0
3.2.1.3	Tricholoma matsutake	5.0
3.2.1.3	Neurospora crassa	5.0
3.2.1.3	Monascus purpureus	5.0
3.2.1.3	Acremonium charticola	5.0
3.2.1.3	Arthrobotrys conoides	5.4
3.2.1.3	Camelus dromedarius	5.5
3.2.1.3	Acremonium sp.	5.5
3.2.1.3	Saccharolobus solfataricus	5.5
3.2.1.3	Thermothelomyces thermophilus	5.5
3.2.1.3	Arthrobotrys amerospora	5.6
3.2.1.3	Saccharomycopsis fibuligera	5.6
3.2.1.3	Rana japonica	6.0
3.2.1.3	Trichocladium griseum	6.0
3.2.1.3	Lactobacillus amylovorus	6.0
3.2.1.3	endophytic fungus EF6	6.0
3.2.1.3	Tetracladium sp.	6.0
3.2.1.3	Thermoactinomyces vulgaris	6.2
3.2.1.3	Homo sapiens	6.5
3.2.1.3	Paenibacillus amylolyticus	7.0
3.2.1.3	Thermomucor indicae-seudaticae	7.0
3.2.1.3	Corallococcus coralloides	7.0
3.2.1.3	Meretrix lusoria	7.5
3.2.1.3	Halolactibacillus sp. SK71	8.0
3.2.1.B3	Corynebacterium glutamicum	6.5
3.2.1.4	Saccharolobus solfataricus	1.8
3.2.1.4	Athelia rolfsii	2.8
3.2.1.4	Thermotoga maritima	3.0
3.2.1.4	Aspergillus niger	3.5
3.2.1.4	Cryptopygus antarcticus	3.5
3.2.1.4	Neurospora crassa	3.5
3.2.1.4	Cryptococcus sp. S-2	3.5
3.2.1.4	Teleogryllus emma	3.5
3.2.1.4	Alicyclobacillus vulcanalis	3.6
3.2.1.4	Talaromyces verruculosus	3.9
3.2.1.4	Bacillus subtilis	4.0
3.2.1.4	Streptomyces sp.	4.0
3.2.1.4	Thermoascus aurantiacus	4.0
3.2.1.4	Phanerodontia chrysosporium	4.0
3.2.1.4	Irpex lacteus	4.0
3.2.1.4	Thermochaetoides thermophila	4.0
3.2.1.4	Saccharolobus shibatae	4.0
3.2.1.4	Trichoderma viride	4.0
3.2.1.4	Rasamsonia emersonii	4.0
3.2.1.4	Robillarda sp.	4.0
3.2.1.4	Thermothielavioides terrestris	4.0
3.2.1.4	Mucor circinelloides	4.0
3.2.1.4	Gecarcoidea natalis	4.0
3.2.1.4	Thermothelomyces heterothallicus	4.2
3.2.1.4	Coniophora cerebella	4.2
3.2.1.4	Acetivibrio thermocellus	4.2
3.2.1.4	Aspergillus oryzae	4.4
3.2.1.4	Lenzites trabea	4.4
3.2.1.4	Ampullaria crossean	4.4
3.2.1.4	Niallia circulans	4.5
3.2.1.4	Aspergillus fumigatus	4.5
3.2.1.4	Beltraniella portoricensis	4.5
3.2.1.4	Paenibacillus sp. Y2	4.5
3.2.1.4	uncultured bacterium	4.5
3.2.1.4	Aspergillus terreus	4.5
3.2.1.4	Komagataeibacter xylinus	4.5
3.2.1.4	Fusarium verticillioides	4.5
3.2.1.4	Bacillus cellulyticus K-12	4.6
3.2.1.4	Trichoderma reesei	4.6
3.2.1.4	Chrysosporium lucknowense	4.8
3.2.1.4	Thermothelomyces thermophilus	4.8
3.2.1.4	Bacillus licheniformis	4.8
3.2.1.4	Talaromyces pinophilus	4.8
3.2.1.4	Phaseolus vulgaris	4.8
3.2.1.4	Aspergillus nidulans	5.0
3.2.1.4	Rhizopus arrhizus	5.0
3.2.1.4	Rhodococcus sp.	5.0
3.2.1.4	Aspergillus flavus	5.0
3.2.1.4	Aspergillus parasiticus	5.0
3.2.1.4	Fusarium oxysporum	5.0
3.2.1.4	Ganoderma lucidum	5.0
3.2.1.4	Thermomyces lanuginosus	5.0
3.2.1.4	Aspergillus tubingensis	5.0
3.2.1.4	Aspergillus carneus	5.0
3.2.1.4	Trichoderma koningii	5.0
3.2.1.4	Aspergillus aculeatus	5.0
3.2.1.4	Trichoderma longibrachiatum	5.0
3.2.1.4	Trichoderma sp.	5.0
3.2.1.4	Stachybotrys chartarum	5.0
3.2.1.4	Aspergillus brevipes	5.0
3.2.1.4	Aspergillus spectabilis	5.0
3.2.1.4	Gloeophyllum trabeum	5.0
3.2.1.4	Trametes hirsuta	5.0
3.2.1.4	Acidothermus cellulolyticus	5.0
3.2.1.4	Rhizobium leguminosarum bv. trifolii	5.0
3.2.1.4	Bispora sp. MEY-1	5.0
3.2.1.4	Bacillus sp. (in: Bacteria)	5.0
3.2.1.4	Sclerotinia sclerotiorum	5.0
3.2.1.4	Aspergillus fischeri	5.0
3.2.1.4	Paenibacillus sp. M33	5.0
3.2.1.4	Bellamya chinensis laeta	5.0
3.2.1.4	uncultured microorganism	5.0
3.2.1.4	Trichoderma atroviride	5.0
3.2.1.4	Fomitopsis palustris	5.0
3.2.1.4	Amphobotrys ricini	5.0
3.2.1.4	Aspergillus glaucus	5.0
3.2.1.4	Volvariella volvacea	5.0
3.2.1.4	Aspergillus sp.	5.0
3.2.1.4	Penicillium sp.	5.0
3.2.1.4	Trichoderma harzianum	5.0
3.2.1.4	Exophiala sp.	5.0
3.2.1.4	Cladosporium sp.	5.0
3.2.1.4	Alternaria sp.	5.0
3.2.1.4	Aureobasidium sp.	5.0
3.2.1.4	Chloridium sp.	5.0
3.2.1.4	Phoma sp.	5.0
3.2.1.4	Coptotermes formosanus	5.0
3.2.1.4	Pyrococcus horikoshii	5.0
3.2.1.4	Pyrococcus furiosus	5.0
3.2.1.4	Postia placenta	5.0
3.2.1.4	Bipolaris sp.	5.0
3.2.1.4	Epicoccum sp.	5.0
3.2.1.4	Dothideomycetes sp.	5.0
3.2.1.4	Microdochium sp.	5.0
3.2.1.4	Nigrospora sp.	5.0
3.2.1.4	Arthrinium sp.	5.0
3.2.1.4	Cephalosporium sp.	5.0
3.2.1.4	Sporothrix sp.	5.0
3.2.1.4	Minimidochium sp. TMS-2011	5.0
3.2.1.4	Cordyceps sp.	5.0
3.2.1.4	Trichoderma asperellum	5.0
3.2.1.4	Lysobacter enzymogenes	5.0
3.2.1.4	Thermobia domestica	5.0
3.2.1.4	Ctenolepisma longicaudatum	5.0
3.2.1.4	Coleus scutellarioides	5.0
3.2.1.4	Stegonsporium opalus	5.0
3.2.1.4	Lysobacter sp.	5.0
3.2.1.4	Xylella fastidiosa	5.0
3.2.1.4	Geobacillus sp.	5.0
3.2.1.4	Humicola insolens	5.0
3.2.1.4	Bacillus pumilus	5.0
3.2.1.4	Syncephalastrum racemosum	5.0
3.2.1.4	Talaromyces funiculosus	5.0
3.2.1.4	Catharanthus roseus	5.2
3.2.1.4	Fibrobacter succinogenes	5.3
3.2.1.4	Dictyoglomus turgidum	5.4
3.2.1.4	Mycothermus thermophilus	5.5
3.2.1.4	Trichocladium griseum	5.5
3.2.1.4	Psacothea hilaris	5.5
3.2.1.4	Trichoderma citrinoviride	5.5
3.2.1.4	Euphausia pacifica	5.5
3.2.1.4	Xanthomonas sp. EC102	5.5
3.2.1.4	Thermosipho sp. LD-2008	5.5
3.2.1.4	Paenibacillus sp. X4	5.5
3.2.1.4	Fervidobacterium nodosum	5.5
3.2.1.4	Cellulomonas fimi	5.5
3.2.1.4	Ruminiclostridium josui	5.5
3.2.1.4	Pseudoalteromonas sp. DY3	5.5
3.2.1.4	Thermobifida fusca	5.5
3.2.1.4	Reticulitermes speratus	5.5
3.2.1.4	Dickeya chrysanthemi	5.5
3.2.1.4	Streptomyces rochei	5.5
3.2.1.4	Orpinomyces joyonii	5.5
3.2.1.4	Cellulomonas biazotea	5.5
3.2.1.4	Cherax destructor	5.5
3.2.1.4	Sporocytophaga myxococcoides	5.5
3.2.1.4	Ruminococcus albus	5.7
3.2.1.4	Bursaphelenchus xylophilus	5.8
3.2.1.4	Melanocarpus albomyces	6.0
3.2.1.4	Pseudoalteromonas sp.	6.0
3.2.1.4	Cytophaga hutchinsonii	6.0
3.2.1.4	Pisum sativum	6.0
3.2.1.4	Pseudomonas putida	6.0
3.2.1.4	Klebsiella pneumoniae	6.0
3.2.1.4	Streptomyces ruber	6.0
3.2.1.4	Phytophthora infestans	6.0
3.2.1.4	Apriona germari	6.0
3.2.1.4	Clostridium cellulovorans	6.0
3.2.1.4	Paenibacillus barcinonensis	6.0
3.2.1.4	Actinomyces sp. 40	6.0
3.2.1.4	Nilaparvata lugens	6.0
3.2.1.4	uncultured archaeon	6.0
3.2.1.4	Geobacillus thermodenitrificans	6.0
3.2.1.4	Thermotoga petrophila	6.0
3.2.1.4	Ruminiclostridium cellulolyticum	6.0
3.2.1.4	Brassica napus	6.0
3.2.1.4	Staphylotrichum coccosporum	6.0
3.2.1.4	Streptomyces sp. G12	6.0
3.2.1.4	Brevibacillus sp.	6.0
3.2.1.4	Phialophora sp. CGMCC 3328	6.0
3.2.1.4	Thermomonospora curvata	6.2
3.2.1.4	Dolabella auricularia	6.3
3.2.1.4	Populus x canadensis	6.5
3.2.1.4	unidentified microorganism	6.5
3.2.1.4	uncultured rumen bacterium	6.5
3.2.1.4	Bacillus sp. SR22	6.5
3.2.1.4	Alicyclobacillus acidocaldarius	6.5
3.2.1.4	Streptomyces reticuli	6.5
3.2.1.4	Pseudomonas fluorescens	6.5
3.2.1.4	Pseudoalteromonas haloplanktis	6.5
3.2.1.4	Salipaludibacillus agaradhaerens	6.5
3.2.1.4	Lyrodus pedicellatus	6.8
3.2.1.4	Streptomyces lividans	7.0
3.2.1.4	Bacillus mycoides	7.0
3.2.1.4	Bacillus vallismortis	7.0
3.2.1.4	Escherichia coli	7.0
3.2.1.4	Xanthomonas campestris pv. campestris	7.0
3.2.1.4	Penicillium crustosum	7.0
3.2.1.4	Citrobacter farmeri	7.0
3.2.1.4	Mesocentrotus nudus	7.0
3.2.1.4	Aquifex aeolicus	7.0
3.2.1.4	Bacillus amyloliquefaciens	7.0
3.2.1.4	Cellulomonas sp.	7.4
3.2.1.4	Cellulomonas flavigena	7.5
3.2.1.4	Salinivibrio sp. NTU-05	7.5
3.2.1.4	Haloarcula sp.	8.0
3.2.1.4	Marinobacter sp.	9.0
3.2.1.6	Rhizomucor miehei	4.0
3.2.1.6	Botrytis cinerea	4.0
3.2.1.6	Laceyella putida	4.2
3.2.1.6	Thermothelomyces heterothallicus	4.3
3.2.1.6	Rasamsonia emersonii	4.5
3.2.1.6	Cyberlindnera jadinii	5.0
3.2.1.6	Flavobacterium sp.	5.0
3.2.1.6	Trichoderma longibrachiatum	5.0
3.2.1.6	Cellulosimicrobium funkei	5.0
3.2.1.6	Lysobacter enzymogenes	5.0
3.2.1.6	Paenibacillus sp.	5.0
3.2.1.6	Trichoderma harzianum	5.0
3.2.1.6	Secale cereale	5.2
3.2.1.6	Rhodothermus marinus	5.5
3.2.1.6	Rhizoctonia solani	5.5
3.2.1.6	Flavobacterium dormitator	5.5
3.2.1.6	Cherax destructor	5.5
3.2.1.6	Humicola insolens	5.5
3.2.1.6	Schizosaccharomyces pombe	5.5
3.2.1.6	Saccharomyces cerevisiae	5.5
3.2.1.6	Paenibacillus sp. CCRC 17245	5.5
3.2.1.6	Bacillus licheniformis	5.6
3.2.1.6	Alicyclobacillus sp.	5.8
3.2.1.6	Pseudocardium sachalinense	5.8
3.2.1.6	Streptomyces sp.	6.0
3.2.1.6	Haliotis discus hannai	6.0
3.2.1.6	Aplysia kurodai	6.0
3.2.1.6	Periplaneta americana	6.0
3.2.1.6	Bacillus subtilis	6.0
3.2.1.6	Thermotoga neapolitana	6.1
3.2.1.6	Caldicellulosiruptor sp. F32	6.5
3.2.1.6	Streptococcus equinus JB1	6.5
3.2.1.7	Aspergillus niger	4.0
3.2.1.7	Bacillus smithii	4.5
3.2.1.7	Kluyveromyces marxianus	4.5
3.2.1.7	Yarrowia lipolytica	5.0
3.2.1.7	Aspergillus ficuum	5.0
3.2.1.7	Fusarium oxysporum	5.0
3.2.1.7	Aspergillus tritici	5.0
3.2.1.7	Penicillium sp. NFCCI 2768	5.0
3.2.1.7	Talaromyces purpureogenus	5.1
3.2.1.7	Penicillium sp.	5.2
3.2.1.7	Pseudomonas sp.	5.5
3.2.1.7	Aspergillus arachidicola	5.5
3.2.1.7	Pseudogymnoascus pannorum	6.0
3.2.1.7	Meyerozyma guilliermondii	6.0
3.2.1.7	Penicillium citrinum	6.0
3.2.1.7	Aspergillus fumigatus	6.0
3.2.1.7	Talaromyces rugulosus	6.0
3.2.1.7	Xanthomonas phaseoli pv. phaseoli	6.0
3.2.1.7	Streptomyces griseus	7.0
3.2.1.7	Arthrobacter sp.	7.5
3.2.1.7	Xanthomonas oryzae	7.5
3.2.1.8	Cryptococcus sp. (in: Fungi)	2.0
3.2.1.8	Aspergillus luchuensis	2.0
3.2.1.8	Penicillium sclerotiorum	2.5
3.2.1.8	Laetiporus sulphureus	3.0
3.2.1.8	Penicillium sp. 'occitanis'	3.0
3.2.1.8	Bispora sp. MEY-1	3.0
3.2.1.8	Termitomyces clypeatus	3.0
3.2.1.8	Acidomyces acidophilus	3.2
3.2.1.8	Malbranchea pulchella	3.5
3.2.1.8	Talaromyces pinophilus	3.5
3.2.1.8	Rasamsonia emersonii	3.5
3.2.1.8	Thermomyces lanuginosus	3.5
3.2.1.8	Aspergillus niger	4.0
3.2.1.8	Bacillus sp. (in: Bacteria)	4.0
3.2.1.8	Lentinula edodes	4.0
3.2.1.8	Saccharolobus solfataricus	4.0
3.2.1.8	Phialophora sp. CGMCC 3328	4.0
3.2.1.8	Penicillium oxalicum	4.0
3.2.1.8	Trichoderma reesei	4.0
3.2.1.8	Pseudozyma hubeiensis	4.2
3.2.1.8	Penicillium griseofulvum	4.5
3.2.1.8	Fusarium oxysporum	4.5
3.2.1.8	Penicillium sp. CGMCC 1669	4.5
3.2.1.8	Rasamsonia byssochlamydoides	4.5
3.2.1.8	Phanerodontia chrysosporium	4.5
3.2.1.8	Thermoascus aurantiacus	4.5
3.2.1.8	Aspergillus fumigatus	4.5
3.2.1.8	Thermochaetoides thermophila	4.8
3.2.1.8	Bacillus subtilis	5.0
3.2.1.8	Cutaneotrichosporon cutaneum	5.0
3.2.1.8	Trichoderma viride	5.0
3.2.1.8	Schizophyllum commune	5.0
3.2.1.8	Aspergillus japonicus	5.0
3.2.1.8	Naganishia albida	5.0
3.2.1.8	Thermothelomyces heterothallicus	5.0
3.2.1.8	Gelatoporia subvermispora	5.0
3.2.1.8	Aspergillus cf. niger BCC14405	5.0
3.2.1.8	Penicillium citrinum	5.0
3.2.1.8	Hordeum vulgare	5.0
3.2.1.8	Talaromyces funiculosus	5.0
3.2.1.8	Thermothelomyces thermophilus	5.0
3.2.1.8	Streptomyces sp.	5.0
3.2.1.8	Streptomyces griseorubens	5.0
3.2.1.8	Termitomyces aurantiacus	5.0
3.2.1.8	Kitasatospora sp.	5.0
3.2.1.8	Pleurotus ostreatus	5.0
3.2.1.8	Aspergillus sulphureus	5.0
3.2.1.8	Neurospora crassa	5.0
3.2.1.8	Aspergillus sp.	5.0
3.2.1.8	Penicillium sp.	5.0
3.2.1.8	Exophiala sp.	5.0
3.2.1.8	Thermotoga maritima	5.0
3.2.1.8	Cladosporium sp.	5.0
3.2.1.8	Alternaria sp.	5.0
3.2.1.8	Fusarium sp.	5.0
3.2.1.8	Aureobasidium sp.	5.0
3.2.1.8	Chloridium sp.	5.0
3.2.1.8	Trichoderma sp.	5.0
3.2.1.8	Phoma sp.	5.0
3.2.1.8	Paenibacillus sp. E18	5.0
3.2.1.8	Postia placenta	5.0
3.2.1.8	Bipolaris sp.	5.0
3.2.1.8	Epicoccum sp.	5.0
3.2.1.8	Dothideomycetes sp.	5.0
3.2.1.8	Microdochium sp.	5.0
3.2.1.8	Nigrospora sp.	5.0
3.2.1.8	Arthrinium sp.	5.0
3.2.1.8	Cephalosporium sp.	5.0
3.2.1.8	Sporothrix sp.	5.0
3.2.1.8	Minimidochium sp. TMS-2011	5.0
3.2.1.8	Cordyceps sp.	5.0
3.2.1.8	Streptomyces thermocyaneoviolaceus	5.0
3.2.1.8	Clostridium acetobutylicum	5.0
3.2.1.8	Cellulomonas fimi	5.0
3.2.1.8	Trichoderma harzianum	5.0
3.2.1.8	Fusarium graminearum	5.0
3.2.1.8	Neocallimastix patriciarum	5.0
3.2.1.8	Luteimicrobium xylanilyticum	5.0
3.2.1.8	Trametes hirsuta	5.0
3.2.1.8	Fusarium proliferatum	5.0
3.2.1.8	Acetivibrio thermocellus	5.0
3.2.1.8	Trichoderma longibrachiatum	5.0
3.2.1.8	Thermobifida fusca	5.0
3.2.1.8	Halalkalibacterium halodurans	5.0
3.2.1.8	Rhizomucor miehei	5.0
3.2.1.8	Carica papaya	5.0
3.2.1.8	Paenibacillus terrae	5.0
3.2.1.8	Pseudoalteromonas haloplanktis	5.3
3.2.1.8	Albifimbria verrucaria	5.5
3.2.1.8	Pomacea insularus	5.5
3.2.1.8	Thermothielavioides terrestris	5.5
3.2.1.8	synthetic construct	5.5
3.2.1.8	Trichoderma inhamatum	5.5
3.2.1.8	Demequina sp. JK4	5.5
3.2.1.8	Massilia sp. RBM26	5.5
3.2.1.8	Triticum aestivum	5.5
3.2.1.8	Niallia circulans	5.5
3.2.1.8	bacterium enrichment culture clone Xyl8B8	5.5
3.2.1.8	Melanocarpus albomyces	5.5
3.2.1.8	Paenibacillus sp.	5.5
3.2.1.8	Ruminiclostridium josui	5.5
3.2.1.8	Thermoclostridium stercorarium	5.5
3.2.1.8	Aspergillus caespitosus	5.5
3.2.1.8	Parageobacillus thermantarcticus	5.6
3.2.1.8	Pseudobutyrivibrio xylanivorans	5.6
3.2.1.8	Euphausia superba	5.7
3.2.1.8	Cellulomonas uda	5.8
3.2.1.8	Streptomyces lividans	6.0
3.2.1.8	Aspergillus versicolor	6.0
3.2.1.8	Geobacillus sp. WBI	6.0
3.2.1.8	Thermoclostridium stercorarium subsp. thermolacticum	6.0
3.2.1.8	Aspergillus giganteus	6.0
3.2.1.8	Humicola insolens	6.0
3.2.1.8	Aspergillus nidulans	6.0
3.2.1.8	Bacillus licheniformis	6.0
3.2.1.8	Dickeya chrysanthemi	6.0
3.2.1.8	Cellulomonas flavigena	6.0
3.2.1.8	Aspergillus ochraceus	6.0
3.2.1.8	Irpex lacteus	6.0
3.2.1.8	uncultured bacterium	6.0
3.2.1.8	Trichoderma virens	6.0
3.2.1.8	Streptomyces olivaceoviridis	6.0
3.2.1.8	Streptomyces cyaneus	6.0
3.2.1.8	Acidothermus cellulolyticus	6.0
3.2.1.8	Cellulosimicrobium sp.	6.0
3.2.1.8	Alternaria mali	6.0
3.2.1.8	Remersonia thermophila	6.0
3.2.1.8	Penicillium canescens	6.0
3.2.1.8	Pseudothermotoga thermarum	6.0
3.2.1.8	Paenibacillus curdlanolyticus	6.0
3.2.1.8	Alicyclobacillus sp.	6.0
3.2.1.8	Fusarium commune	6.0
3.2.1.8	Streptomyces coelicolor	6.0
3.2.1.8	Pseudopedobacter saltans	6.0
3.2.1.8	Streptomyces thermocarboxydus	6.0
3.2.1.8	Teredinibacter turnerae	6.0
3.2.1.8	Thermotoga petrophila	6.0
3.2.1.8	[Caldibacillus] cellulovorans	6.0
3.2.1.8	Ampullaria crossean	6.0
3.2.1.8	Actinomadura sp.	6.0
3.2.1.8	Streptomyces halstedii	6.3
3.2.1.8	Geobacillus stearothermophilus	6.5
3.2.1.8	Paecilomyces variotii	6.5
3.2.1.8	Caldicellulosiruptor saccharolyticus	6.5
3.2.1.8	Mycothermus thermophilus	6.5
3.2.1.8	Thermobifida alba	6.5
3.2.1.8	Acrophialophora nainiana	6.5
3.2.1.8	Streptomyces sp. S27	6.5
3.2.1.8	Streptomyces sp. S9	6.5
3.2.1.8	Sphingobacterium sp. TN19	6.5
3.2.1.8	Saccharopolyspora pathumthaniensis	6.5
3.2.1.8	Melioribacter roseus	6.5
3.2.1.8	Arthrobacter sp.	6.5
3.2.1.8	Malbranchea cinnamomea	6.5
3.2.1.8	Cellvibrio mixtus	6.5
3.2.1.8	Streptomyces ipomoeae	6.5
3.2.1.8	Streptomyces sp. TN119	6.5
3.2.1.8	Bacillus pumilus	6.5
3.2.1.8	Talaromyces purpureogenus	6.5
3.2.1.8	Bacillus amyloliquefaciens	6.8
3.2.1.8	Fusarium oxysporum f. sp. vasinfectum	7.0
3.2.1.8	Pediococcus acidilactici	7.0
3.2.1.8	Thermomyces dupontii	7.0
3.2.1.8	uncultured microorganism	7.0
3.2.1.8	Paenibacillus campinasensis	7.0
3.2.1.8	Caldicellulosiruptor owensensis	7.0
3.2.1.8	Rhizophlyctis rosea	7.0
3.2.1.8	Nesterenkonia xinjiangensis	7.0
3.2.1.8	Paenibacillus sp. W-61	7.0
3.2.1.8	Thermopolyspora flexuosa	7.0
3.2.1.8	Paecilomyces sp. 'thermophila'	7.0
3.2.1.8	Priestia megaterium	7.5
3.2.1.8	Aspergillus flavus	7.5
3.2.1.8	Staphylococcus sp.	7.5
3.2.1.8	Streptomyces avermitilis	7.5
3.2.1.8	Streptomyces fradiae	7.8
3.2.1.8	Streptomyces olivaceus	8.0
3.2.1.8	Aspergillus terreus	8.0
3.2.1.8	Aspergillus tubingensis	8.0
3.2.1.8	Microcella alkaliphila	8.0
3.2.1.8	Kocuria sp. Mn22	8.5
3.2.1.8	Bacillus sp. 41M-1	8.5
3.2.1.8	Microbacterium trichothecenolyticum	9.0
3.2.1.8	Thermoascus aurantiacus var. levisporus	9.0
3.2.1.B8	Staphylothermus marinus	5.0
